Walden R. , Xiaowei Y. , 4:0 ,0.04,10.29,2014, Asian Tour 2
Joyce M. , Jun Z. , 4:3 ,0.1,5.56,2014, Asian Tour 2
King M. , Yaochen Ch. , 4:0 ,0.04,8.61,2014, Asian Tour 2
Williams M. , Hanxuan Z. , 4:0 ,0.04,8.61,2014, Asian Tour 2
Zhuang N. , Maflin K. , 4:2 ,7.61,0.06,2014, Asian Tour 2
Davis M. , Zepeng W. , 4:0 ,0.06,7.11,2014, Asian Tour 2
Dott G. , Mingqi G. , 4:2 ,0.04,10.29,2014, Asian Tour 2
Muir R. , Jiahao H. , 4:3 ,0.11,5.04,2014, Asian Tour 2
Pengfei T. , Lin Tang Ho A. , 4:3 ,0.04,8.61,2014, Asian Tour 2
Ebdon P. , Jiaxing R. , 4:1 ,0.04,9.61,2014, Asian Tour 2
Pinches B. , Junjie B. , 4:0 ,0.04,9.61,2014, Asian Tour 2
Jun T. , Bing M. , 4:1 ,0.5,1.5,2014, Asian Tour 2
Steadman C. , Jiuwei L. , 4:0 ,0.05,10,2014, Asian Tour 2
Perry J. , Un-Nooh T. , 4:1 ,0.54,1.42,2014, Asian Tour 3
Perry J. , Ford T. , 4:3 ,0.44,1.81,2014, Asian Tour 3
Un-Nooh T. , Williams M. , 4:1 ,1.9,0.41,2014, Asian Tour 3
Ford T. , Burden A. , 4:2 ,0.66,1.1,2014, Asian Tour 3
Perry J. , Maimaiti R. , 4:1 ,0.22,3,2014, Asian Tour 3
Williams M. , Yong Z. , 4:0 ,0.28,2.5,2014, Asian Tour 3
Yong Z. , Yuan L. , 4:1 ,0.53,1.37,2014, Asian Tour 3
Steadman C. , Yuchen W. , 4:2 ,0.36,2,2014, Asian Tour 3
Un-Nooh T. , Bing M. , 4:2 ,0.36,2,2014, Asian Tour 3
Robertson J. , King M. , 4:2 ,1.5,0.5,2014, Asian Tour 3
Zifan Ch. , Muir R. , 4:2 ,2.75,0.25,2014, Asian Tour 3
Pinches B. , Guodong X. , 4:2 ,1.75,0.4,2014, Asian Tour 3
Williams M. , Delu Y. , 4:1 ,0.33,2.25,2014, Asian Tour 3
Zhou Y. , Xiongman F. , 4:1 ,0.44,1.62,2014, Asian Tour 3
Burden A. , Woollaston B. , 4:1 ,0.57,1.25,2014, Asian Tour 3
Maimaiti R. , Ning L. , 4:3 ,1.25,0.57,2014, Asian Tour 3
Perry J. , Zepeng W. , 4:2 ,0.16,4,2014, Asian Tour 3
Ford T. , Reti J. , 4:3 ,0.3,2.4,2014, Asian Tour 3
Slessor E. , Dott G. , 4:2 ,3,0.22,2014, Asian Tour 3
O'Sullivan S. , Wai A. C. , 4:0 ,0.44,1.62,2014, Asian Tour 3
Pengfei T. , Xinlong C. , 4:0 ,0.44,1.62,2014, Asian Tour 3
Zhuang N. , Cao Y. , 4:3 ,1.5,0.5,2014, Asian Tour 3
King M. , Long J. , 4:2 ,0.4,1.75,2014, Asian Tour 3
Muir R. , Yujin L. , 4:2 ,0.5,1.5,2014, Asian Tour 3
Williams M. , Zhe C. , 4:3 ,0.36,2,2014, Asian Tour 3
Zifan Ch. , Mingqi G. , 4:3 ,0.33,2.25,2014, Asian Tour 3
Dott G. , Davison P. , 4:1 ,0.25,3,2014, Asian Tour 3
Perry J. , Jiahao H. , 4:0 ,0.04,12,2014, Asian Tour 3
Zhuang N. , Selt M. , 4:1 ,8,0.08,2014, Asian Tour 3
Ford T. , Xiwen M. , 4:1 ,0.33,2.4,2014, Asian Tour 3
Haotian L. , Ruifu Ch. , 4:1 ,0.08,6.78,2014, Asian Tour 3
Long J. , Heng W. , 4:3 ,1.1,0.69,2014, Asian Tour 3
Yuan L. , Jianzhong C. , 4:3 ,1.91,0.39,2014, Asian Tour 3
King M. , Taojin T. , 4:2 ,0.05,8.61,2014, Asian Tour 3
Poomjaeng D. , Tingpeng M. , 4:1 ,0.1,6.06,2014, Asian Tour 3
Williams M. , Weixing P. , 4:1 ,0.04,9.61,2014, Asian Tour 3
Yong Z. , Shaojun Y. , 4:0 ,0.21,3.15,2014, Asian Tour 3
Zhe C. , Zeyuan F. , 4:2 ,0.21,3.15,2014, Asian Tour 3
Delu Y. , Jun X. , 4:0 ,0.05,8.61,2014, Asian Tour 3
Sihong C. , Wenchong H. , 4:1 ,0.25,2.84,2014, Asian Tour 3
Pinches B. , Junxu P. , 4:2 ,0.21,3.15,2014, Asian Tour 3
Feilong Ch. , Ming C. , 4:0 ,0.44,1.69,2014, Asian Tour 3
Junhao C. , Yiqi L. , 4:1 ,0.42,1.73,2014, Asian Tour 3
Mingqi G. , Saengkham N. , 4:3 ,3.15,0.21,2014, Asian Tour 3
Yujin L. , Yan B. , 4:2 ,2.84,0.25,2014, Asian Tour 3
Zifan Ch. , Le G. , 4:0 ,0.49,1.55,2014, Asian Tour 3
Zhijun J. , Zehuang L. , 4:0 ,2.75,0.28,2014, Asian Tour 3
Si X. , Yunshing W. , 4:1 ,0.25,2.84,2014, Asian Tour 3
Steadman C. , Guoxiao Q. , 4:3 ,0.05,8.61,2014, Asian Tour 3
Anda Z. , Zhen L. , 4:3 ,0.12,4.79,2014, Asian Tour 3
Un-Nooh T. , Ningning L. , 4:0 ,0.14,4.24,2014, Asian Tour 3
Xiongman F. , Yadong Z. , 4:0 ,0.27,2.6,2014, Asian Tour 3
Zhou Y. , Deuel C. , 4:2 ,0.12,4.79,2014, Asian Tour 3
Burden A. , Linkai W. , 4:0 ,0.04,9.11,2014, Asian Tour 3
Slessor E. , Tszho L. , 4:1 ,0.1,6.06,2014, Asian Tour 3
Davison P. , Xintong Z. , 4:3 ,2.12,0.35,2014, Asian Tour 3
Ford T. , Changqing M. , 4:1 ,0.06,7.61,2014, Asian Tour 3
O'Sullivan S. , Shengguang W. , 4:0 ,0.12,4.79,2014, Asian Tour 3
Saif A. , Yun L. , 4:0 ,0.15,4.1,2014, Asian Tour 3
Wai A. C. , Yong D. , 4:2 ,0.15,3.83,2014, Asian Tour 3
Wilson G. , Jiahao L. , 4:0 ,0.06,7.61,2014, Asian Tour 3
Chenwei L. , Yuan X. , 4:3 ,0.1,7,2014, Asian Tour 3
Jun T. , Bulajiang A. , 4:2 ,0.36,2.2,2014, Asian Tour 3
Ning L. , Genxiang L. , 4:0 ,0.1,7,2014, Asian Tour 3
Peng S. , Xianshu S. , 4:3 ,1.62,0.5,2014, Asian Tour 3
